Language,Family Name,Notes,Blazon
English,CAVEL,CAVEL.,"Gules[otherwise vert], three sails argent"
English,CAVELL,"CAVELL, Cornwall.","Ermine, a calf passant gules"
English,CAVELL,"CAVELL, Devon.","Sable, a horse upright argent bridled or"
English,CAWARDEN CARDEN,"CAWARDEN, or CARDEN, co. Cheshire and Hereford.","Sable, a staff-sling in bend between two pheons argent"
English,CAWARDEN,"CAWARDEN, co. Stafford.","Gules, a sling or hand-bow between two broad arrows argent"
English,CAYLE,"CAYLE, Cornwall.","Quarterly, embattled argent and sable"
English,CEELY,CEELY[Glover's Ordinary].,"Gules, a lion rampant or, between two flaunches ermine, and a graft in point of the last"
English,CELY,"CELY, Havering, Essex.","Gules, a lion rampant or, between two flaunches and a gusset in base ermine"
English,CENINO,"CENINO, Italy.","Azure, a salamander or in a flame proper"
English,CHABOT,"CHABOT, France[Philip Chabot, Lord High Admiral of France, was elected Knight of the Garter at Calais, 1532].","Or, three chabots gules"
English,CHADDERTON,"CHADDERTON, Bp. of Chester, 1579; Bp. of Lincoln, 1595-1608.","Quarterly, first and fourth, gules, a crosslet potence or; second and third argent, a chevron between three crampirons gules"
English,CHADERTON MS,"CHADERTON, Harl. MS. 1465.","Gules, a cross crosslet crossed next the centre on the upper and lower limbs or"
English,CHAFFERS,"CHAFFERS, Liverpool.","Azure, on a bend invected argent between three crescents, each surmounted by a mullet of eight points or as many chaffinches proper"
English,CHALKHILL,"CHALKHILL, Middlesex.","Chevronelly of six, gules and argent"
English,CHALMERS,"CHALMERS, Scotland.","Argent, a fesse gules, a demi-lion issuing therefrom sable"
English,CHALONER,"CHALONER, Yorksh.","Sable, a chevron between three cherubim or"
English,CHAMBERLAIN,"CHAMBERLAIN, Baronetcy, 1828.","Gules, an armillary sphere or within an orle argent charged with eight mullets azure"
English,CHAMBERLAYNE MS MS,"Leonard CHAMBERLAYNE, Yorkshire[so drawn in MS. Harleian, 1394, pt. 129, fol. 9=fol. 349 of MS.]","Argent, a chevron between three fylfots gules"
English,CHAMBERLAYNE,"CHAMBERLAYNE, and many others.",The arm is also borne by the families of ARMORBERY--DE LA FAY--PUREFOY--BORLASE--ARMORER--RENNCEVALE--HANCOCK
English,CHAMBERLEYN,CHAMBERLEYN.,"Gules, two keys in saltire or"
English,CHAMBERS,"CHAMBERS, Hanover, Jamaica; granted 1771.","Argent, a negro cutting with a bill a sugar-cane proper, on a chief azure two pine-apples[i.e. ananas] or leaved and crowned of the last"
English,CHAMBERS,"CHAMBERS, London, granted 1723.","Ermine, three cakes of copper proper; on a chief gules a chamber[i.e. a chamber-piece] or"
English,CHAMBERS,"CHAMBERS, co. Worcester.","Argent, a chevron sable surmounted of another ermine; three chambers, placed transverse of the escutcheon of the second fired proper"
English,CHAMPAGNE,CHAMPAGNE.,"Azure, a bend argent two cotises potent on the upper side or"
English,CHAMPENEY,"CHAMPENEY, co. Devon.","Argent, a fesse of two fusils conjoined gules"
English,CHAMPION,"CHAMPION, Berks.","Argent, three trefoils slipped sable"
English,CHAMPION,"John CHAMPION, Kent.","Argent, two bars nebuly gules"
English,CHANDOS,"CHANDOS, Baron Chandos. [Summoned to Parliament, 1337.]","Or, a pile gules"
English,CHANTICLEER,"CHANTICLEER, Cornwall.","Azure, three cocks argent"
English,CHANTRY,CHANTRY.,"Sable, goutty de larmes, a lion rampant argent"
English,CHAPMAN,"CHAPMAN, York.","Per chevron, argent and gules, a cross counterchanged"
English,CHAPPELL,"CHAPPELL, Cambridgeshire.","Per fesse argent and vert, a chapel of the first, roofed gules between four escallop shells counterchanged"
English,CHARE,"William CHARE, in Trinity College Chapel, Cambridge.","Argent, three hews or miner's pick-axes sable"
English,CHASTEIN,CHASTEIN.,"Argent, three arrows gules one and two between as many Cornish choughs proper two and one"
English,CHAUNCELER,"CHAUNCELER, Brafferton, co. Durham.","Or, three parroquets vert"
English,CHAWCERS,CHAWCERS.,"Gules, three mill-wheels or"
English,CHAWDER,"CHAWDER, Scotland.","Argent, three sprigs conjoined in base vert; on a chief gules a crescent between two mullets of the field"
English,CHAWLAS,CHAWLAS.,"Or, a mound sable, encircled gules, ensigned with a cross avellane of the last"
English,CHAWNCY MS,"CHAWNCY, Harl. MS. 1465.","Gules, a cross botonny argent, on a chief azure a lion passant or"
English,CHEDERTON,CHEDERTON.,"Gules, a cross potent crossed or"
English,CHEKE,CHEKE.,"Argent, a cock gules"
English,CHEPMERDEN,CHEPMERDEN.,"Or, a chevron sable between three columbines azure"
English,CHESELDON MS,"CHESELDON, Harl. MS. 1386.","Argent, a chevron sable between three chisels or handled of the second"
English,CHESTER,"CHESTER, co. Gloucester.","Gules, a lion passant ermine, between three hawk's lures argent"
English,CHESTER,See of CHESTER.,"Gules, three mitres or"
English,CHETHAM,"CHETHAM, Suffolk.","Argent, a chevron gules between three crampoons erect, sable"
English,CHETHAM,"CHETHAM, co. Derby.","Argent, a chevron gules between three fleams or"
English,CHETTLE,CHETTLE.,"Or, three spiders azure"
English,CHEYNEY,"CHEYNEY, Bp. of Bristol, 1562-79.","Argent, on a chevron azure a coney passant between two fishes hauriant of the first; on a chief checky of the first and second a rose or on a pale of the second"
English,CHEYNEY,"Richard CHEYNEY, Bp. of Gloucester, 1562-79.","Argent, on a chevron azure, a coney courant between two burbot or coney fish hauriant of the field. On a chief chequy argent and azure a rose gules"
English,CHICHELEY,"Henry CHICHELEY, Archbishop of Canterbury, 1414-43.","Impaled with argent, a chevron between three cinquefoils gules"
English,CHICHESTER,Bishoprick of CHICHESTER.,"Azure, a Presbyter John hooded sitting on a tombstone, in his sinister hand a book open, his dexter hand extended with the two forefingers erect, all or; in his mouth a sword fessways gules, hilt and pommel or, the point to the sinister"
English,CHICKERIN,"CHICKERIN, Norwich.","Argent, on a chevron vert three cockerells of the first membered gules"
English,CHIDDERLEGH,"CHIDDERLEGH, Cornwall.","Or, on a chevron azure between three cormorant's heads erased sable as many acorns slipped of the first"
English,CHIPPENDALE,"CHIPPENDALE, Leicester.","Azure, two lion's gambs issuing out of the base of the escutcheon, and forming a chevron argent; between the gambs a fleur-de-lis or"
English,CHIVERS,CHIVERS.,"Argent, three cinquefoils gules, and a gyron issuing from the dexter side in chief azure"
English,CHIVERTON,"CHIVERTON, Lord Mayor of London, 1658.","Argent, on a mount vert a tower triple-towered sable"
English,CHOBB,CHOBB.,"Vert, three chub fish haurient sable"
English,CHOBBE DORMER,"CHOBBE[and one of the quarterings borne by Lord DORMER, of Wing, Bucks].","Gules, on a chevron between three chub fish argent three shovellers sable; on a chief dancetty of the second three escallops of the first"
English,CHOPIN,"Richard CHOPIN, Alderman of London.","Argent, a chevron azure between three pheasant cocks vert, beaked and legged gulles, breast yellow"
English,CHORLEY,CHORLEY.,"Argent, a chevron between three blue-bottles azure couped vert"
English,CHORLEY,CHORLEY.,"Argent, three three-pronged forks gules"
English,CHOWNE,"CHOWNE, Berks.","Sable, three thatcher's hooks in pale argent"
English,CHOWNE,"CHOWNE, Kent.","Gules, three thatcher's hooks in fesse argent"
English,CHRIST CHURCH PRIORY,"CHRIST CHURCH PRIORY, Canterbury. [These letters were evidently intended as a contraction of the word Christi. Since the Reformation the above insignia have been used for the Deanery, the ancient letters having generally been changed to x and i.]","Azure, a cross argent charged with the letter x, in the fesse point, and the letter i, in the honour point, both sable"
English,CHRIST CHURCH,"CHRIST CHURCH, London.","Azure, a representation of the Trinity argent, inscribed sable"
English,CHRIST HOSPITAL,"CHRIST'S HOSPITAL, London.","Argent, a cross gules; in the dexter canton a dagger[probably meant for the sword of S.Paul] of the second; on a chief azure a double rose red and white barbed vert between two fleurs-de-lis or"
English,CHRISTIAN,"CHRISTIAN, Ireland.","Gules, a cross crosslet argent"
English,CHRISTMAS,"CHRISTMAS, Kent.","Gules, on a bend sable, three wassail bowls or"
English,CHRISTOPHER,"CHRISTOPHER, London.","Per chevron wavy, azure and erminois, a chart of Chesterfield's Inlet, between in chief two estoiles argent and in base on a mount vert a beaver passant proper"
English,CHRISTOPHERSON,"John CHRISTOPHERSON, Bp. of Chichester, 1537-58.","Quarterly, first and fourth azure a cross bottonnee gules second and third gules, three suns in splendour or--CYPRUS; On a chief party per pale gules and azure three cinquefoils counterchanged"
English,CHRISTOPHERSON,"John CHRISTOPHERSON, Bp. of Chichester, 1557-58.","Quarterly; first and fourth argent, a cross bottonnee gules; second and third gules, three suns in splendour or; over all on a chief party per pale gules and argent, three cinquefoils counterchanged"
English,CHURCH,"CHURCH, Hampton.","Gules, a crosier reversed in bend sinister, surmounted by a sword in bend dexter proper; on a chief argent a thistle leaved also proper"
English,CHURCHILL,"CHURCHILL, Duke of Marlborough. [Arms of Earl of Marlborough, 1689.]","Sable, a lion rampant argent, on a canton of the last a cross gules[i.e. a canton of S.George]"
English,CHURCHILL,CHURCHILL.,"Sable, a lion rampant argent holding between the paws a mural crown or, a canton ermine thereon pendent by a riband gules fimbriated azure a representation of the medal presented for services subinscribed WATERLOO in letters sable"
English,CINQUE PORTS,CINQUE PORTS.,Per pale gules and azure; on the dexter three demi-lions passant gardant issuing from the centre and conjoined to so many demi-hulks of ships on the sinister argent
English,CIRENCESTER,CIRENCESTER Abbey.,"Argent, on a chevron gules three ram's heads affronty of the field, attire or"
English,CLAPHAM,"CLAPHAM, Scotland.","Argent, a lion rampant gules, on his head a helmet azure"
English,CLAPHAM,CLAPHAM.,"Argent, a chevron gules between three[nine] gimlets sable"
English,CLAPHAM,CLAPHAM.,"Argent, on a chevron gules a fret[wine-broach or piercer] of the first"
English,CLAPPESON,CLAPPESON.,"Or, a lion rampant sable between three parsley leaves vert"
English,CLARE,CLARE.,"Or, three chevronels gules."
English,CLARENDON,"Sir Roger de CLARENDON, [natural son of Edward the Black Prince].","Or, on a bend sable, three ostrich feathers argent, the quills transfixed through as many escrolls gold"
English,CLARET,CLARET.,"Azure, a rainbow in fesse proper, between two estoiles in chief, and the sun in base or"
English,CLARK,"CLARK, London, granted 21 Jan. 1604.","Sable, on a pale argent a Greek upsilon gules"
English,CLARK,CLARK.,"Argent, three tenter-hooks sable"
English,CLARKE CLERKES,"CLARKE, or CLERKES.",Sable three tenter-hooks argent
English,CLARKE,"CLARKE, Ipswich.","Ermine, on a bend engrailed sable three conger-eel's heads erased argent, collared with a bar gemel gules"
English,CLARKE,"CLARKE, co. Northampton.","Argent, on a bend gules between three ogresses as many swans proper"
English,CLAYHILLS,"CLAYHILLS, Innergowrie, Scotland.","Per bend sanguine and vert, two greyhounds courant bendwise argent"
English,CLEATHER,"CLEATHER, Cornwall.","Azure a chevron between three daggers, with blades wavy, pointing downwards argent"
English,CLEAVER,"CLEAVER, Bp. of Chester, 1788; of Bangor, 1800; and S.Asaph, 1806-15.","Sable, two bars between three castles masoned or"
English,CLEAVER,CLEAVER.,"Or, a chevron ermine between three cords erased at each end and tied in knots vert"
English,CLELAND,"CLELAND, Edinburgh.","Azure, a hare salient guardant argent with a hunting-horn hanging about the neck vert garnished gules within a bordure counter-compony of the second and first"
English,CLEMENTS INN,CLEMENTS INN.,"Argent, an anchor erect[without a stock] proper, environed on the centre with the letter C or"
English,CLENCH,CLENCH.,"Gules, six annulets interlaced palewise in pairs, and a chief or"
English,CLEVE,CLEVE.,"Argent, an escarbuncle or, over all an escucheon sable"
English,CLIFFORD,"CLIFFORD, Bp. of Bath and Wells, 1401; Worcester, 1401; afterwards of London, 1407-21.","Checky or and azure, on a fesse gules, a mitre stringed argent; all within a bordure of the second"
English,CLINKSCALES,CLINKSCALES.,"Argent, two lances in saltire sable, pennons gules, surmounted by an esquire's helmet azure"
English,CLITHEROW,"Town of CLITHEROW, Lancashire.","Azure, on a mount vert a castle embattled with three towers domed, on each a pennon, all or"
English,CLOCKMAKERS,"CLOCKMAKERS' Company, London.","Sable, a clock each of the four corner pillars of the case erected on a lion couchant, and on each capital a mound ensigned with a cross pattee, and on the dome of the case an imperial crown supposed by circular arches springing from the pillars, under which arches the bell appears, and on the centre of the dial-plate a double rose, all or"
English,CLOPTON,CLOPTON.,"Sable, a bend between two cottices dancetty or"
English,CLOSE,"Nicolas CLOSE, Bp. of Carlisle, 1450; of Lichfield, 1452.","Azure, on a chevron or between three falcons close argent, three roses gules"
English,CLOTHWORKERS,"CLOTHWORKERS' Company, London[originally incorporated 1482, by the style of the Fraternity of the Assumption of the Blessed Virgin of the Sheermen of London; confirmed in 1528, but incorporated as Clothworkers' Company by Queen Elizabeth: arms granted 1530].","Sable, a chevron ermine between two habicks in chief argent and a teazel in base slipped or"
English,CLOUVYLE,"CLOUVYLE, Essex.","Argent, on two chevrons sable ten horse-nails or"
English,CLOVE,"CLOVE, Wilts.","Or, a camel passant between three cloves sable"
English,CLUER,"John CLUER, London, 1716.","Argent, a standing cup covered sable"
English,CLUTTON,CLUTTON.,"Argent, a chevron ermine fimbriated sable, between annulets gules"
English,CLYTON,"CLYTON, Scotland.","Gules, six ancient naval crowns or"
English,CLYVEDON,"CLYVEDON, Essex.","Or, a lion rampant azure, crowned gules"
English,COACHMAKERS COACH HARNESS MAKERS,Company of COACHMAKERS and COACH HARNESS-MAKERS[Incorporated and arms granted 1677].,"Azure, a chevron between three coaches or"
English,COBB,"COBB, Norfolk.","Per chevron gules and sable, in chief two teals argent, in base a fish or"
English,COBB,"COBB, Sandringham. [A monument in Adderbury church, Oxfordshire, where a branch of the family resided.]","Sable, a chevron argent between three cob-fish naiant or; a chief of the last"
English,COBB,"COBB, Sharnbrook, Bedfordshire.","Gules, a chevron wavy between three cob-fish naiant argent, on a chief of the last two sea-cobs[or gulls] sable[and in one case given as two shovellers sable beaked and legged or]"
English,COBB,"COBB, Snetisham, Norfolk.","Party per chevron sable and argent, in chief two sea-cobs[i.e. gulls] respecting each other, and in base a herring naiant or"
English,COBB,"COBB, co. Oxford, [Baronet, 1662].","Per chevron gules and sable, in chief two swans respectant, in base a herring proper[otherwise blazoned a herring-cob]"
English,COCHRANE,COCHRANE.,"Argent, a chevron between three boar's heads erased azure"
English,COCK,COCK.,"Gules, three barn-door cocks argent, armed, crested, and jowllopped or"
English,COCKAYNE COCKBURNE,"COCKAYNE[also borne by COCKBURNE, Scotland].","Argent, three barn-door cocks crested and jowllopped sable"
English,COCKES,"COCKES, Somerset.","Gules, a spur-leather and buckle or; on a chief argent three cock's heads erased of the field, combed and wattled gold"
English,COCKMAN,COCKMAN.,"Argent, three game-cocks gules, crested and wattled sable"
English,COCKS,COCKS(Viscount Eastnor and Earl Somers).,"Sable, a chevron or, between three stag's attires fixed to the scalps argent"
English,COCKS,COCKS.,"Argent, a chevron between three stag's attires fixed to the scalps azure"
English,CODD,CODD.,"Sable, a chevron between three codfishes naiant argent"
English,CODLEW CUDLEW,"CODLEW, or CUDLEW.","Or, three serpents erect wavy sable"
English,COGAN,COGAN.,"Argent, three aspen leaves gules[another branch of the family, Gules, three aspen leaves argent]"
English,COGGS,"COGGS, London.","Sable, on a bend between three cogs of a mill-wheel or as many elm leaves vert"
English,COKER,"COKER, co. Dorset.","Argent, three men's boots sable"
English,COLAN,COLAN.,"Argent, three torches proper"
English,COLBECK,"COLBECK, co. Bedford.","Or, two bars wavy, and in chief three whale's heads erect and erased sable"
English,COLBRAND,"COLBRAND, Chichester, Lewes, and Burnham, Sussex.","Argent, three levels with their plummets or"
English,COLDWELL,"COLDWELL, Prebendary of Ely, 1702.","Per fesse or and azure, a pile counterchanged; in the chief a lion rampant; in base on each side of bottom of pile a blazing comet counterchanged"
English,COLDWELL,"John COLDWELL, Bp. of Salisbury, 1591-96.","Checky, argent and sable, on a chief or, three quivers gules, banded of the third, in each five arrows of the first"
English,COLE,"COLE, Brancepeth, Durham.","Argent, a fesse engrailed between three scorpions reversed sable"
English,COLE,"COLE, Somersetshire.","Argent, a fesse between three scorpions erect sable"
English,COLE,"COLE, co. Devon; and Walden, Essex.","Argent, a chevron between three scorpions reversed gules"
English,COLERIDGE,COLERIDGE.,"Argent, on a mount vert in base an otter proper; a chief gules charged with a dove of the field between two crosses patty fitchy or"
English,COLLARD,COLLARD.,"Azure, three lady's heads in fesse between as many fleurs-de-lis or"
English,COLLEGE OF ARMS HERALDS OFFICE,"COLLEGE OF ARMS, or HERALDS' OFFICE.","Argent, a cross gules between four doves, the dexter wings expanded and inverted azure"
English,COLLEGE OF ARMS,COLLEGE OF ARMS.,"Argent, a cross gules between four doves, their dexter wings expanded and inverted, azure. Crest: in a ducal coronet proper, a dove rising azure. Supporters: two lions rampant gardant argent, ducally gorged or"
English,COLLENS,"COLLENS, Barnes Hill, co. Devon.","Azure, three fire-brands proper"
English,COLLIAR,COLLIAR.,"Sable, a cross patty throughout fitchy or"
English,COLLINGBORNE,"COLLINGBORNE, Devon.","Argent, a saltire chequey or and azure between four columbines proper"
English,COLLINS,"COLLINS, Kent.","Vert, a griffin segreant or, beaked, legged, and ducally gorged argent"
English,COLLINS,"COLLINS, Ottery S.Mary, co. Devon.","Azure, three torches or, fired[or lighted] proper"
English,COLLISON COLLISONE,"COLLISON, Auchloumes; COLLISONE, Scotland.","Argent, on a fesse azure between three roses in chief gules and as many peascods, in base vert a sword barways of the first hilt and pomel or"
English,COLMAN,"COLMAN, co. Suffolk.","Azure, on a pale radiant or, a lion rampant gules"
English,COLNET,"COLNET, Hants.","Or, a chevron gules, between three columbines argent, as many flower-pots of the first"
English,COLPOYS,COLPOYS.,"Argent, an anchor azure surmounted by a maunch sable charged with three crosses patty of the field"
English,COLSTON,"COLSTON, Essex.","Argent, two barbels haurient, respecting each other, sable, collared and chained together or; the chain pendent and ringed at the end"
English,COLSTON,"COLSTON, Essex.","Argent, two dolphins haurient respecting each other sable, chained together by their necks, the chain pendent or[otherwise an anchor between two dolphins proper]"
English,COLSTON,COLSTON.,"Argent, two barbels haurient, respecting each other sable"
English,COLTE,"COLTE, Essex.","Argent, a fesse azure between three colts in full speed sable"
English,COLUMBALL RIC II,COLUMBALL[temp. RIC. II.],"Sable, three doves argent, beaked and membered gules, each holding on olive-branch proper"
English,COLUMBERS,COLUMBERS.,"Per fesse argent and gules, a cross sarcelly counterchanged"
English,COLVELEY,"COLVELEY, co. Hants.","Gules, a fesse between three plumes argent"
English,COLVIL COPLEY GROSSETESTE COPLEY MELBOURNE,"COLVIL, Ochiltry, Scotland; Robert COPLEY, called GROSSETESTE, Bp. of Lincoln, 1235-53; COPLEY, Batley, co. York; Sir Thos. MELBOURNE.","Argent, a cross moline quarter-pierced sable"
English,COLVILL,COLVILL.,"Or, three chess-rooks gules"
English,COLWYKE,COLWYKE.,"Gules, three fruits an fesse argent, in chief two cinquefoils or"
English,COMBE,COMBE.,"Argent, on a bend gules three combs or"
English,COMBERTON,COMBERTON.,"Gules, two lions sejant conjoined under one head guardant or, crowned azure"
English,COMBMAKERS,"Company of COMBMAKERS, incorporated 1636.","Azure, a lion passant guardant between three combs or"
English,COMPANY OF BUTCHERS,"COMPANY OF BUTCHERS, London and Exeter.","Azure, two slaughter-axes addorsed in saltire argent, handles or between three bull's heads couped as the second armed of the third, viz. two in fess and one in base, on a chief silver a boar's head couped gules, between two block brushes [i.e. bunches of knee holly or butcher's broom] vert"
English,COMPANY SADDLERS,"COMPANY of SADDLERS, London.","Azure, a chevron between saddles with stirrups[otherwise three manage saddles complete] or"
English,COMPTON,"COMPTON, Bp. of Oxford, 1674; of London, 1675-1713.","Sable, a lion passant guardant or between three helmets argent"
English,COMPTON,"COMPTON, Northamp.","Sable, a lion passant guardant or, between three esquire's helmets argent"
English,COMRIE,"COMRIE, Scotland.","Or, on a bend azure an annulet and two pheons conjoined in bend as the first; in chief a quiver full of arrows proper"
English,COMRIES,"COMRIES, Scotland.","Argent, a bend gules; in chief two broad arrows, shods conjoined by an annulet, palewise azure"
English,COMYN,"COMYN, Durham.","Azure, a chevron between three sheaves of cummin or"
English,CONDUIT,CONDUIT.,"Gules, three pitchers argent"
English,CONDUITT,"CONDUITT, Westminster[granted 1717].","Gules, on a fesse wavy argent, between three pitchers double eared or, as many bees volant proper"
English,CONESBY CONINGSBY,"Sir Humphry CONESBY, co. Hereford, and CONINGSBY, co. Norfolk.","Gules, three conies sejant argent within a bordure engrailed sable"
English,CONEYBEARE,"John CONEYBEARE, Bp. of Bristol, 1750-55.","Argent, a saltire sable, debruised of a pale gules"
English,CONGHURST,CONGHURST.,"Azure, three congers hauriant[also blazoned erased] or"
English,CONGLETON,"CONGLETON, Northamptonshire.","Gules, on a fesse argent between three congers[or sea-dragons' heads] erased or as many trefoils slipped sable"
English,CONHAM,"CONHAM, Wilts.","Gules, a bird argent standing upon an apple or"
English,CONHAM,"CONHAM, Wilts.","Gules, a bird standing upon an apple or"
English,CONINGHAM,CONINGHAM.,"Sable[another gules], two gussets argent"
English,CONNELL,"CONNELL, Ireland.","Argent, a chevron gules, between in chief two spurs, and in base a battle-axe azure, shaft or"
English,CONQUEROR,"CONQUEROR, Frierton.","Argent, a garland of laurel vert, between three pheons gules"
English,CONRADUS,CONRADUS.,"Argent, a purse overt gules"
English,CONSIDINE,CONSIDINE.,"Argent, an orle gules, flory and counter flory on the outer edge vert, in the centre a dagger in pale azure, hilt and pomel or"
English,CONSTABLE,CONSTABLE.,"Or, an inescutcheon gules"
English,CONWAY,"CONWAY, Callis.","Azure, a lion passant argent goutte d'or between three dexter gauntlets of the second"
English,CONY,"CONY, co. Hertford.","Argent, a saltire gules between four conies feeding sable"
English,CONYSTON,CONYSTON.,"Argent, [otherwise or,] three conies passant sable"
English,COOK,"COOK, Blackheath, Kent.","Gules, on a fesse or voided of the field between three wool-packs argent three crescents gold"
English,COOKS,"COOKS' Company, incorporated 1472.","Argent, a chevron engrailed gules between three columbines proper, stalked and leaved vert"
English,COOPER,COOPER.,"Argent, a bend engrailed between six fishes hauriant argent"
English,COOPER,COOPER.,"Azure, a tortoise erect or"
English,COOPERS,"COOPERS' Company, Incorporated 1501.","Gyronny of eight gules and sable; on a chevron between three annulets or, a grose between two adzes azure; on a chief vert three lilies slipped and leaved argent"
English,COOTE,"COOTE, Lincoln.","Argent, three coots proper"
English,COPE,"COPE, Osbaston, Leicester.","Quarterly ermine and azure, a chapeau gules turned up of the first between two greyhounds courant in pale or"
English,CORBET CORBET,"CORBET, of Morton Corbet, Salop, and Richard CORBET, Bp. of Oxford, 1628; of Norwich, 1632-35.","Or, a raven proper"
English,CORBYN,CORBYN.,"Per fesse or and argent, three ravens in chief proper"
English,CORDNERS,"CORDNERS' Company, Edinburgh.","Azure, a cutting-knife proper ensigned with a marquess's coronet or"
English,CORDWAINERS,CORDWAINERS' Company[incorporated 1410].,"Azure, a chevron or between three goat's heads erased argent, attired of the second"
English,CORK ROSS,Bishopric of CORK and ROSS.,"Argent, on a cross patty gules a crosier enfiling a mitre or"
English,CORKE,"CORKE, Cornwall.","Sable, three lion's tails erected and erased argent"
English,CORNALL CROWNALL,"CORNALL, or CROWNALL.","Argent, a bend between three cronels sable."
English,CORNEILLES,CORNEILLES.,"Gules, a man's arm couped and embowed, the hand holding a branch of vine fructed, leaved and slipped all proper"
English,CORNELL,CORNELL.,"Argent, five towers, two, two and one gules"
English,CORNOCK,"CORNOCK, co. Wexford.","Gules, issuing from the sinister side a cubit dexter arm unvested, fesswise grasping a sword proper"
English,CORNWALL,County of CORNWALL.,"Sable, fifteen bezants, five, four, three, two, and one"
English,CORNWALLIS,"CORNWALLIS, Bp. of Lichfield, 1750; Abp. of Cant., 1768-83.","Sable, guttee d'eau, on a fesse argent, three Cornish choughs"
English,CORONA,CORONA.,"Sable, a roundle argent between three earl's coronets or"
English,CORP,CORP.,"Argent, three stumps of trees couped and eradicated vert"
English,CORVELL,CORVELL.,"Ermine, a cow statant gules within a bordure sable, bezanty, a crescent for difference"
English,COSANCE,"COSANCE, Higham Barrow.","Argent, a bend engrailed and in chief a matchlock sable"
English,COTES MS,"COTES, Harl. MS. 6829.","Argent, a cross moline rebated engrailed, sable"
English,COTES,"COTES, Lord Mayor of London, 1542.","Per pale or and azure, two dolphins erect counterchanged; on a chief gules a covered cup between as many dovecots of the first"
English,COTON,"COTON, Ashill, Norfolk.","Azure, an eagle with wings elevated argent"
English,COTTER,"COTTER, Bart, 1763.","Argent, a chevron gules between three serpents erect proper"
English,COTTER,"COTTER, Ireland.","Azure, three effets in pale proper"
English,COTTER,"COTTER, Ireland.","Azure, three lizards or"
English,COTTER,COTTER.,"Argent, a cross sarcelly engrailed sable"
English,COTTINGHAM,COTTINGHAM.,"Sable, two hinds counter-tripping, in fesse argent[or as elsewhere blazoned, Sable, two hinds counter-passant, the one facing to the sinister, surmounting the other in fesse argent]"
English,COTTON,"COTTON, Combermere.","Azure, three cotton-hanks argent"
English,COTTON,COTTON.,"Argent, three bars sable, over all as many cotton-hanks or"
English,COTTON,COTTON.,"Barry of six argent and azure, three bundles of cotton or."
English,COTTON,"Hugh COTTON, co. Stafford.","Azure, a chevron between three hanks of cotton erect argent"
English,COUCHMASTER,COUCHMASTER.,"Argent, two chevrons, couched[and counterpointed?] vert"
English,COUGHTE,"[? Sir Armoyne COUGHTE, from arms in Dorchester Church, Oxon.]","Gules, a bend ermine between six bezants"
English,COULCHIEFE,COULCHIEFE.,"Argent, an eagle sable, crined gules, standing on a child proper, swathed or lying in a cradle vert"
English,COULTHARD,"COULTHARD, co. Lancaster.","Argent, a fesse between a horse courant in chief, and a water bouget in base sable"
English,COUNTESSE,COUNTESSE.,"Argent, three stag's horns barways sable, the top to the dexter side"
English,COURTENAY,"COURTENAY, Devon.","Or, three torteaux; with a label of three points; azure, on each point a bezant"
English,COURTENAY,COURTENAY.,"Or, three torteaux"
English,COURTENAY,"William COURTENAY, Archbishop of Canterbury, 1381.","Or, three torteaux, with a label of three points azure, charged with a like number of mitres gold[for difference]"
English,COURTENAY,"William COURTENAY, Bp. of Hereford, 1374; of London, 1375; Abp. of Canterbury, 1381-96.","Or, three torteaux; on a label azure, three mitres of the field"
English,COVE,COVE.,"Gules, a bend argent, cotticed or"
English,COVENTRY,"COVENTRY, Lord Mayor of London, 1425.","Argent, a chevron sable between three columbines azure slipped proper"
English,COVENTRY,City of COVENTRY.,"Per pale gules and vert, an elephant, on his back a tower triple towered all or"
English,COWICK,Benedictine Alien Priory at COWICK Devon.,"Argent, three cows passant sable, eyes gules, collared or"
English,COWICK,Benedictine Alien Priory at COWICK.,"Argent, three cows passant sable, eyes gules, collared or"
English,COWPEN,COWPEN.,"Gules, three writing pens argent"
English,COX,"COX, co. Salop.","Argent, a bend, and in the sinister chief an oak leaf azure"
English,CRACKNELL,"CRACKNELL, Devon.","Argent, a battle-axe, head downwards, held by a lion rampant guardant proper, within a border azure"
English,CRADOCK,CRADOCK.,"Argent, three boar's heads couped sable armed or"
English,CRAIGDAILLIE,"CRAIGDAILLIE, Aberdeen.","Argent, a crow sable between three fountains"
English,CRAIK,CRAIK.,"Argent, a fesse between three jays sable"
English,CRAMOND CRAWMOND,"CRAMOND or CRAWMOND, Auldbar, Scotland.","Azure, a bend or between three pelicans feeding their young argent"
English,CRANE,"CRANE, Cornwall.","Argent, a crane sable standing on a staff raguly in base vert"
English,CRANMER,"CRANMER, Abp. of Canterbury, 1533.","Argent, on a chevron azure between three pelicans in piety sable, three cinquefoils or"
English,CRAWFURD,"CRAWFURD, Passell.","Gules, a fesse ermine, in base a ship with three masts, sails furled proper"
English,CRAWFURD,"CRAWFURD, Scotland.","Argent, a stag's head erased gules[otherwise sable], attired or, distilling drops of blood"
English,CRAWFURD,"CRAWFURD, Scotland.","Gules, a fesse ermine, over all two spears in saltire argent"
English,CRAWFURD,CRAWFURD.,"Argent, a stag's head erased, armed with three tines gules"
English,CREBBOTT,"CREBBOTT, Sussex.","Or, a fesse bretessed gules"
